episode,reward, average reward, 100-episode running mean reward
438,103.3969,-71.0826,58.6472
439,38.8431,-70.8322,59.1081
440,58.4738,-70.5383,58.6681
441,128.1425,-70.0878,59.3607
442,5.8697,-69.9159,59.3299
443,-48.193,-69.8669,58.9744
444,123.4002,-69.4316,61.2917
445,4.5278,-69.2654,60.8175
446,29.8529,-69.0432,60.3212
447,15.0179,-68.8551,59.4491
448,22.7993,-68.6505,59.8959
449,18.1699,-68.4572,59.4706
450,-11.8314,-68.3313,59.2234
451,84.1483,-67.9932,59.5819
452,14.4734,-67.8108,60.2311
453,21.3172,-67.614,59.9368
454,-1.7208,-67.4689,59.2845
455,25.4561,-67.2647,58.4116
456,-26.3946,-67.175,57.5228
457,17.2173,-66.9904,57.4414
458,-5.0917,-66.8552,57.4951
459,20.4667,-66.665,57.8819
460,-10.8118,-66.5436,56.7007
461,13.4805,-66.37,57.4695
462,31.7013,-66.1577,57.7653
463,-25.8736,-66.0707,57.3789
464,29.9741,-65.8637,57.4606
465,26.8273,-65.6644,57.3609
466,116.8537,-65.2727,58.1551
467,25.7837,-65.0777,57.236
468,-19.6227,-64.9806,56.165
469,123.6974,-64.5783,57.2462
470,122.0323,-64.1812,57.597
471,12.8873,-64.0176,56.6404
472,24.2034,-63.8307,56.117
473,20.9405,-63.6515,56.3973
474,-15.9112,-63.5508,55.8692
475,-5.1568,-63.4278,55.9522
476,-6.6409,-63.3085,55.4121
477,18.2909,-63.1375,55.2192
478,70.3677,-62.8582,55.7514
479,17.656,-62.6901,55.3471
480,72.6928,-62.408,54.4551
481,90.913,-62.0893,55.4479
482,17.7635,-61.9236,55.0391
483,177.4298,-61.428,55.9271
484,38.8143,-61.2209,55.6658
485,5.9473,-61.0824,54.4928
486,-11.188,-60.9798,52.7562
487,-18.2013,-60.8919,50.6803
488,34.0614,-60.6974,50.0018
489,111.0342,-60.3462,50.9285
490,160.4853,-59.8955,52.0653
491,51.3196,-59.669,52.2156
492,70.4346,-59.4046,52.6728
493,-20.1307,-59.3249,51.9918
494,62.4299,-59.0784,51.3289
495,10.6332,-58.9376,51.062
496,-41.3618,-58.9022,51.4752
497,125.0761,-58.532,51.9512
498,7.4389,-58.3995,51.5751
499,68.6837,-58.1448,51.3167
500,22.7892,-57.983,50.6994
501,135.916,-57.5959,50.6797
502,70.9828,-57.3398,50.0356
503,78.192,-57.0704,49.5593
504,74.9199,-56.8085,48.8548
505,66.8115,-56.5637,48.8789
506,126.7629,-56.2014,49.9292
507,93.8131,-55.9055,50.7671
508,-31.604,-55.8577,49.249
509,72.4463,-55.6056,49.665
510,90.0318,-55.32,50.4832
511,38.1272,-55.1371,50.0629
512,123.9351,-54.7874,50.8455
513,66.1486,-54.5517,52.0586
514,89.6896,-54.271,53.421
515,173.0773,-53.8296,54.8525
516,111.8662,-53.5085,55.8004
517,-63.528,-53.5278,54.3604
518,125.6821,-53.1819,54.7315
519,84.1881,-52.9172,54.5444
520,28.1621,-52.7613,53.5103
521,104.2764,-52.4599,53.3286
522,47.9691,-52.2675,52.2847
523,54.6566,-52.063,51.7385
524,-53.1408,-52.0651,49.8999
525,46.2251,-51.8779,49.3834
526,15.1614,-51.7504,49.275
527,50.3177,-51.5567,48.8007
528,82.7063,-51.3024,49.2726
529,125.9548,-50.9674,50.19
530,84.6868,-50.7114,50.9027
531,1.3167,-50.6134,50.6941
532,-20.4906,-50.5568,50.233
533,81.3548,-50.3093,49.5139
534,71.7826,-50.0807,49.2009
535,-66.842,-50.112,46.9089
536,152.8111,-49.7334,47.3072
537,41.9476,-49.5627,46.224
538,69.9472,-49.3406,45.8895
539,126.8612,-49.0137,46.7697
540,113.565,-48.7126,47.3206
541,97.4547,-48.4424,47.0137
542,115.0239,-48.1408,48.1053
543,40.9783,-47.9767,48.997
544,139.3737,-47.6323,49.1567
545,112.7343,-47.338,50.2388
546,74.9856,-47.114,50.6901
547,123.5349,-46.802,51.7753
548,149.0801,-46.4446,53.0381
549,158.5501,-46.0712,54.4419
550,121.9404,-45.7657,55.7796
551,102.798,-45.4961,55.9661
552,156.6944,-45.1298,57.3883
553,153.6789,-44.7703,58.7119
554,154.3569,-44.4108,60.2727
555,150.128,-44.0603,61.5194
556,146.3832,-43.7178,63.2472
557,29.508,-43.5863,63.3701
558,133.4936,-43.269,64.756
559,-27.1184,-43.2401,64.2801
560,154.3306,-42.8873,65.9315
561,168.8836,-42.5098,67.4856
562,155.9967,-42.1566,68.7285
563,130.2081,-41.8504,70.2893
564,0.299,-41.7757,69.9926
565,11.4302,-41.6815,69.8386
566,160.3027,-41.3247,70.2731
567,132.6523,-41.0178,71.3418
568,20.2937,-40.9099,71.7409
569,-28.2978,-40.8877,70.221
570,164.5591,-40.5273,70.6463
