episode,reward, average reward, 100-episode running mean reward
334,85.9359,-112.1315,-68.4169
335,26.3771,-111.718,-67.9223
336,-74.3847,-111.6069,-67.7618
337,120.6926,-110.9176,-65.7154
338,39.1374,-110.4737,-62.5225
339,52.9797,-109.9915,-61.6005
340,109.9923,-109.3445,-60.313
341,128.2402,-108.6478,-57.9055
342,79.1925,-108.0985,-56.9255
343,77.7443,-107.5567,-55.5102
344,113.1381,-106.9151,-54.341
345,21.0684,-106.5442,-53.3278
346,136.999,-105.8403,-51.7784
347,85.6767,-105.2884,-50.5127
348,23.7378,-104.9176,-50.3979
349,11.1127,-104.5851,-50.1879
350,-49.6011,-104.4281,-50.35
351,52.733,-103.9803,-49.4411
352,10.9998,-103.6537,-49.1307
353,111.964,-103.0428,-47.8771
354,59.0523,-102.5849,-46.5889
355,18.8589,-102.2428,-45.7639
356,-39.1362,-102.0656,-44.4936
357,-7.7954,-101.8015,-43.8796
358,-22.933,-101.5812,-43.3912
359,-11.1232,-101.3292,-43.0933
360,19.6735,-100.9931,-42.896
361,129.8521,-100.3537,-40.9157
362,42.3473,-99.9595,-39.813
363,58.9681,-99.5216,-38.1803
364,29.4036,-99.1675,-35.2349
365,-8.384,-98.9187,-34.5928
366,-14.7927,-98.6889,-34.0396
367,118.5887,-98.0968,-32.0831
368,-27.0021,-97.9036,-30.2413
369,161.3187,-97.2011,-27.2315
370,-36.5584,-97.0373,-26.7871
371,133.9163,-96.4147,-23.6761
372,16.6619,-96.1108,-23.3504
373,-87.6981,-96.0882,-23.8757
374,39.8876,-95.7246,-23.1926
375,25.5565,-95.4012,-22.4321
376,114.9781,-94.8417,-20.9059
377,33.8621,-94.5003,-20.6342
378,-25.2633,-94.3171,-20.6171
379,129.307,-93.7271,-17.0048
380,154.8933,-93.0728,-15.6147
381,-7.2768,-92.8477,-15.4282
382,-71.6985,-92.7923,-15.0472
383,-4.7241,-92.5624,-15.6002
384,119.4302,-92.0103,-12.2926
385,37.1152,-91.6749,-9.9407
386,103.6135,-91.169,-7.1356
387,181.4245,-90.4646,-4.6091
388,140.5089,-89.8693,-2.7308
389,92.5105,-89.4005,-2.065
390,76.6376,-88.9747,-1.1615
391,99.0574,-88.4938,1.9728
392,55.9445,-88.1254,1.9521
393,-51.2182,-88.0314,3.9519
394,32.9643,-87.7243,5.0316
395,112.5483,-87.2173,9.1796
396,103.5152,-86.7357,9.887
397,44.3001,-86.4056,14.1802
398,34.4355,-86.102,18.7025
399,-41.6362,-85.9905,21.4761
400,-85.4594,-85.9892,23.0528
401,159.3057,-85.3775,25.1538
402,-57.0962,-85.3072,25.0655
403,30.7347,-85.0192,25.894
404,-105.1918,-85.0691,26.4804
405,63.9723,-84.7011,28.4282
406,89.4562,-84.2722,28.9284
407,33.9935,-83.9816,29.2078
408,32.2702,-83.6967,30.7966
409,0.7744,-83.4901,31.7428
410,49.564,-83.1656,34.0647
411,11.3123,-82.9357,34.4121
412,139.0075,-82.3971,36.4326
413,22.3309,-82.1435,35.9
414,71.6514,-81.772,36.714
415,125.1861,-81.2733,37.6088
416,127.7877,-80.7707,38.398
417,-57.4892,-80.7149,37.5596
418,-101.5306,-80.7647,38.2795
419,1.529,-80.5683,38.3433
420,-6.6484,-80.3923,38.7628
421,123.7422,-79.9074,40.1537
422,43.7706,-79.6144,40.4392
423,71.1681,-79.2579,40.6369
424,46.0802,-78.9623,41.4925
425,150.1609,-78.4232,42.7823
426,-114.819,-78.5086,42.1609
427,90.7583,-78.1122,43.3105
428,20.3835,-77.8821,43.7541
429,-35.1276,-77.7824,43.4773
430,-20.7586,-77.6498,42.453
431,-47.9793,-77.5809,41.4339
432,122.5017,-77.1178,42.2866
433,58.7305,-76.8041,42.817
434,-157.0698,-76.989,40.3869
435,129.8833,-76.5134,41.422
436,134.5392,-76.0294,43.5112
437,19.4235,-75.8109,42.4985
438,55.3069,-75.5116,42.6602
439,-35.449,-75.4203,41.776
440,-20.1713,-75.2948,40.4743
441,-5.6467,-75.1368,39.1354
442,89.6027,-74.7641,39.2396
443,-5.4727,-74.6077,38.4074
444,-62.3642,-74.5801,36.6524
445,215.3074,-73.9287,38.5947
446,111.7618,-73.5123,38.3424
447,132.8785,-73.0506,38.8144
448,62.5383,-72.748,39.2024
449,161.8026,-72.2256,40.7093
450,-13.6359,-72.0954,41.069
451,32.6658,-71.8631,40.8683
452,47.0085,-71.6001,41.2284
453,105.2485,-71.2097,41.1612
454,-20.2364,-71.0974,40.3683
455,-43.4749,-71.0367,39.745
456,-97.0415,-71.0938,39.1659
