episode,reward, average reward, 100-episode running mean reward
493,31.0268,-61.5662,27.3935
494,-47.4761,-61.5377,26.7646
495,10.7233,-61.3917,26.9521
496,53.3998,-61.1603,27.5973
497,-33.4717,-61.1046,26.8771
498,32.771,-60.9161,27.1241
499,-18.5154,-60.8311,26.2646
500,-35.2878,-60.78,27.1667
501,69.1677,-60.5206,26.9657
502,218.6873,-59.9644,28.9583
503,-16.8924,-59.8788,28.4545
504,18.3708,-59.7235,28.7183
505,-118.1969,-59.8393,27.6505
506,25.8973,-59.6699,29.7785
507,81.6858,-59.3911,30.5393
508,90.7842,-59.0955,31.4258
509,68.7843,-58.8442,32.4058
510,124.019,-58.4857,32.1005
511,91.495,-58.1922,33.4956
512,92.1813,-57.8985,33.0072
513,12.1433,-57.7619,32.9758
514,90.5192,-57.4735,34.3403
515,-10.0044,-57.3813,33.8832
516,60.3241,-57.1532,35.3827
517,79.9037,-56.8881,36.065
518,-33.5542,-56.843,35.551
519,70.0827,-56.5985,36.1604
520,11.9361,-56.4667,36.9868
521,80.9479,-56.2029,37.3905
522,83.7835,-55.9347,37.2767
523,90.9142,-55.654,37.465
524,-20.3876,-55.5867,37.4332
525,82.7281,-55.3232,38.3204
526,61.2577,-55.1016,38.7453
527,68.5826,-54.8669,39.3106
528,114.9661,-54.5452,41.694
529,79.9979,-54.2909,40.7218
530,37.9468,-54.1169,43.2246
531,54.155,-53.9129,43.7016
532,109.4659,-53.6058,45.8139
533,116.7553,-53.2862,44.4662
534,57.9503,-53.0779,45.0961
535,59.8049,-52.8669,44.8142
536,56.4903,-52.6629,45.5289
537,94.4647,-52.3889,46.5577
538,79.6355,-52.1435,47.7366
539,71.9546,-51.9133,47.604
540,55.5414,-51.7143,48.2202
541,25.1541,-51.5722,47.6029
542,135.4959,-51.2271,48.9277
543,80.8518,-50.9838,49.6403
544,100.5165,-50.7053,49.736
545,-45.4468,-50.6957,48.1717
546,114.0593,-50.3939,47.3558
547,64.5354,-50.1838,47.9888
548,139.1142,-49.8384,47.7706
549,110.6658,-49.546,48.9621
550,118.2728,-49.2409,49.2215
551,-2.333,-49.1558,48.8093
552,5.9361,-49.056,48.7534
553,23.4115,-48.9249,48.6495
554,91.1167,-48.6721,48.0697
555,234.3186,-48.1622,50.958
556,-41.0354,-48.1494,47.9455
557,30.8294,-48.0076,47.4484
558,-111.633,-48.1217,47.4065
559,85.6419,-47.8824,47.6775
560,38.5352,-47.728,46.8783
561,101.1881,-47.4626,46.907
562,104.8037,-47.1917,45.804
563,100.1989,-46.9299,46.8176
564,86.5725,-46.6932,47.0654
565,-55.715,-46.7091,45.4471
566,139.3831,-46.3803,47.3678
567,95.3738,-46.1303,49.4722
568,-100.4809,-46.226,48.6194
569,78.0692,-46.0076,48.7344
570,95.1513,-45.7599,50.157
571,37.8106,-45.6136,50.3023
572,78.9014,-45.3959,50.4021
573,119.8314,-45.1075,51.6612
574,98.5307,-44.8573,53.1933
575,111.3014,-44.5857,53.305
576,-31.2033,-44.5625,52.3304
577,112.6418,-44.29,53.2
578,91.3613,-44.0553,53.4059
579,54.4093,-43.8853,54.2469
580,84.6035,-43.6637,53.9261
581,87.394,-43.4382,55.4607
582,136.2881,-43.1294,55.7366
583,125.1155,-42.8408,56.9615
584,98.7528,-42.5983,57.1901
585,-82.5966,-42.6667,56.9913
586,103.8122,-42.4167,58.4967
587,71.7163,-42.2223,59.9246
588,90.8335,-41.996,60.2507
589,101.9317,-41.7517,61.1914
590,122.5022,-41.4733,61.5525
591,92.098,-41.2473,61.1875
592,71.3655,-41.057,60.7741
593,60.3979,-40.8859,61.0678
594,88.55,-40.668,62.4281
595,60.3255,-40.4983,62.9241
596,-68.4983,-40.5453,61.7051
597,110.4805,-40.2923,63.1447
598,-51.9305,-40.3118,62.2976
599,95.5333,-40.085,63.4381
600,85.9669,-39.8749,64.6507
601,78.7023,-39.6776,64.746
602,95.4963,-39.4531,63.5141
603,75.8896,-39.2618,64.4419
604,89.7543,-39.0482,65.1558
605,96.1012,-38.8248,67.2987
606,56.8886,-38.6668,67.6087
607,121.2385,-38.4034,68.0042
608,172.5236,-38.0565,68.8216
609,124.2165,-37.79,69.3759
610,61.1908,-37.6278,68.7476
611,142.7599,-37.3325,69.2603
612,103.8161,-37.1019,69.3766
613,123.3914,-36.8401,70.4891
614,99.3699,-36.6182,70.5776
615,98.4176,-36.3987,71.6618
616,108.6408,-36.1632,72.145
617,85.2404,-35.9664,72.1984
618,116.781,-35.7193,73.7017
619,105.3983,-35.4913,74.0549
620,89.4678,-35.2898,74.8302
621,143.7304,-35.0015,75.458
622,118.1198,-34.7553,75.8014
623,111.0232,-34.5213,76.0025
624,124.8461,-34.2659,77.4548
625,65.3376,-34.1065,77.2809
626,112.2675,-33.8727,77.791
627,54.6629,-33.7315,77.6518
628,-36.0076,-33.7351,76.1421
629,130.0525,-33.4747,76.6426
630,60.3042,-33.3259,76.8662
631,266.6161,-32.8506,78.9908
632,142.2852,-32.5734,79.319
633,132.6343,-32.3124,79.4778
634,120.7318,-32.0711,80.1056
635,68.3764,-31.9129,80.1913
636,153.0465,-31.622,81.1569
637,114.7656,-31.3922,81.3599
638,142.4851,-31.1197,81.9884
639,142.0006,-30.8488,82.6888
640,115.0898,-30.6208,83.2843
641,135.187,-30.3621,84.3846
642,113.5683,-30.1379,84.1654
643,113.3981,-29.9147,84.4908
644,118.6918,-29.6839,84.6726
645,96.4121,-29.4884,86.0912
646,98.4664,-29.2903,85.9352
647,142.1674,-29.0253,86.7116
648,121.7038,-28.7927,86.5375
649,87.9054,-28.6129,86.3099
650,117.2223,-28.3886,86.2993
651,142.4009,-28.1262,87.7467
652,70.2162,-27.9754,88.3895
653,-18.3022,-27.9606,87.9724
654,103.3123,-27.7598,88.0943
655,86.159,-27.5859,86.6127
656,145.4351,-27.3222,88.4774
657,90.4983,-27.1428,89.0741
658,121.8708,-26.9164,91.4091
659,122.6642,-26.6894,91.7794
660,117.0887,-26.4715,92.5649
661,74.6358,-26.3186,92.2994
662,80.071,-26.1579,92.0521
663,88.9291,-25.9843,91.9394
664,102.3087,-25.7911,92.0967
665,122.1307,-25.5686,93.8752
666,166.8253,-25.2798,94.1496
667,115.8961,-25.0681,94.3548
668,75.3844,-24.9177,96.1135
669,78.8117,-24.7627,96.1209
670,121.3738,-24.5446,96.3831
671,146.2759,-24.29,97.4678
672,132.5608,-24.0566,98.0044
673,161.356,-23.7811,98.4196
674,143.5483,-23.5328,98.8698
675,154.9787,-23.2683,99.3066
676,126.4421,-23.0469,100.883
677,140.3866,-22.8055,101.1605
678,-4.987,-22.7792,100.197
679,25.6741,-22.7078,99.9096
680,110.8549,-22.5114,100.1721
681,30.0145,-22.4343,99.5983
682,84.2086,-22.2779,99.0776
683,130.9523,-22.0536,99.1359
684,0.5128,-22.0206,98.1535
685,-6.5782,-21.998,98.9137
686,110.9174,-21.8043,98.9848
687,118.0547,-21.6007,99.4481
688,164.6338,-21.33,100.1861
689,136.1516,-21.1014,100.5283
690,90.7194,-20.9394,100.2105
691,91.6105,-20.7765,100.2056
692,118.373,-20.5754,100.6757
693,118.2112,-20.3751,101.2538
694,112.8516,-20.1832,101.4969
695,-51.1339,-20.2277,100.3823
696,141.1059,-19.9959,102.4783
697,144.1185,-19.7605,102.8147
698,143.7,-19.5263,104.771
699,151.9443,-19.281,105.3351
700,-41.2599,-19.3124,104.0628
701,155.3326,-19.0632,104.8291
702,-25.0246,-19.0717,103.6239
703,179.5959,-18.7891,104.661
704,155.0471,-18.5422,105.3139
705,-81.2955,-18.6312,103.54
706,141.1413,-18.4049,104.3825
707,174.3133,-18.1323,104.9132
708,157.43,-17.8843,104.7623
709,134.5074,-17.6694,104.8652
710,2.1801,-17.6414,104.2751
711,115.7364,-17.4538,104.0049
712,133.0696,-17.2424,104.2974
713,148.6333,-17.0098,104.5498
714,112.1046,-16.829,104.6772
715,128.392,-16.6259,104.9769
716,109.5749,-16.4496,104.9862
717,160.6412,-16.2026,105.7403
718,-11.4281,-16.196,104.4582
719,148.8368,-15.9664,104.8926
720,176.4051,-15.6992,105.7619
721,137.0307,-15.4874,105.6949
722,119.4569,-15.3005,105.7083
723,133.7069,-15.0944,105.9351
724,151.0142,-14.865,106.1968
725,135.2445,-14.6579,106.8959
726,99.1871,-14.5011,106.7651
727,185.384,-14.2262,108.0723
728,138.4819,-14.0164,109.8172
729,146.6734,-13.796,109.9834
730,138.1569,-13.5878,110.7619
731,180.3203,-13.3226,109.899
732,-0.0226,-13.3044,108.4759
733,133.0681,-13.1047,108.4802
734,151.9703,-12.8798,108.7926
735,57.0414,-12.7847,108.6793
736,132.4271,-12.5874,108.4731
737,133.776,-12.3888,108.6632
738,50.1674,-12.304,107.74
739,138.6559,-12.0998,107.7065
